Record_ID,Country,Region,State,State_Code,City,Latitude,Longitude,Year,Full_Date,Month_Number,Month_Name,Quarter,Fiscal_Year,Population,Population_Category,Urban_Population,Rural_Population,Urban_Percentage,Rural_Percentage,Density_per_km2,Density_Category,Growth_Rate,Growth_Category,Literacy_Rate,Birth_Rate,Death_Rate,Net_Rate_Change
REC000025,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2020,03-12-2020,12,December,Q4,FY2020-21,2328569,Small (<5M),678280,5485257,11,89,188,Low Density,0.87,Low Growth,83.64,23.27,8.34,14.93
REC000026,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2000,07-05-2000,5,May,Q2,FY2000-01,6582134,Medium (5-10M),7786670,7666950,50.39,49.61,967,High Density,1.98,Moderate Growth,66.88,14.17,5.44,8.73
REC000027,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2011,24-01-2011,1,January,Q1,FY2010-11,393275,Small (<5M),766603,9111358,7.76,92.24,100,Low Density,2.76,High Growth,67.58,21.17,6.05,15.12
REC000028,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2021,22-12-2021,12,December,Q4,FY2021-22,9509247,Medium (5-10M),7288079,3866311,65.34,34.66,725,Medium Density,1.73,Moderate Growth,69.36,25.12,10.71,14.41
REC000029,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2011,06-10-2011,10,October,Q4,FY2011-12,12049288,Large (10-15M),5516530,4382454,55.73,44.27,500,Medium Density,3.1,High Growth,88.98,23.33,8.22,15.11
REC000030,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2024,16-06-2024,6,June,Q2,FY2024-25,6168225,Medium (5-10M),9054317,1106579,89.11,10.89,63,Low Density,,,65.86,11.67,10.02,1.65
REC000031,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2016,24-12-2016,12,December,Q4,FY2016-17,18052835,Very Large (>15M),8012794,8777391,47.72,52.28,1054,High Density,3.2,High Growth,70.46,14.74,9.83,4.91
REC000032,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2009,08-09-2009,9,September,Q3,FY2009-10,10546324,Large (10-15M),5823747,3185731,64.64,35.36,812,Medium Density,2.61,High Growth,92.22,23.76,11.54,12.22
REC000033,India,North,Delhi,DL,Delhi,28.7041,77.1025,2015,23-01-2015,1,January,Q1,FY2014-15,10847629,Large (10-15M),4147478,4531979,47.78,52.22,1412,High Density,,,86.43,20.57,13.5,7.07
REC000034,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2014,22-11-2014,11,November,Q4,FY2014-15,2253092,Small (<5M),7196060,284031,96.2,3.8,1171,High Density,0.7,Low Growth,85.66,10.62,7.27,3.35
REC000035,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,,,,,,,19510741,Very Large (>15M),3245701,7634932,29.83,70.17,941,High Density,2.9,High Growth,75.93,24.77,8.62,16.15
REC000036,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2018,10-10-2018,10,October,Q4,FY2018-19,13822265,Large (10-15M),8656117,86863,99.01,0.99,1310,High Density,1.57,Moderate Growth,84.58,11.59,10.57,1.02
REC000037,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2011,16-12-2011,12,December,Q4,FY2011-12,10073943,Large (10-15M),2964138,1745932,62.93,37.07,243,Low Density,1.07,Moderate Growth,79.8,13.7,12.41,1.29
REC000038,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2022,11-12-2022,12,December,Q4,FY2022-23,506195,Small (<5M),7408547,5904686,55.65,44.35,414,Medium Density,,,62.5,28.09,8.83,19.26
REC000039,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2019,13-03-2019,3,March,Q1,FY2018-19,4562276,Small (<5M),1320153,1257959,51.21,48.79,937,High Density,,,80.18,16.3,7.65,8.65
REC000040,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2024,06-12-2024,12,December,Q4,FY2024-25,1589998,Small (<5M),2652359,8054190,24.77,75.23,587,Medium Density,2.93,High Growth,75.83,10.69,11.75,-1.06
REC000041,India,West,Maharashtra,MH,Pune,18.5204,73.8567,,,,,,,10119479,Large (10-15M),6394457,7284404,46.75,53.25,638,Medium Density,2.68,High Growth,63.99,10.35,11.64,-1.29
REC000042,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,,,,,,,14246710,Large (10-15M),3221654,9668703,24.99,75.01,1092,High Density,0.5,Low Growth,72.05,28.71,12.57,16.14
REC000043,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2018,21-09-2018,9,September,Q3,FY2018-19,5023198,Medium (5-10M),4030071,8855090,31.28,68.72,1151,High Density,0.82,Low Growth,91.32,17.45,9.98,7.47
REC000044,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2006,19-03-2006,3,March,Q1,FY2005-06,10388036,Large (10-15M),5259929,3293596,61.49,38.51,1371,High Density,2.51,High Growth,88.13,22.42,5.75,16.67
REC000045,India,West,Maharashtra,MH,Pune,18.5204,73.8567,,,,,,,10186496,Large (10-15M),6863361,6801613,50.23,49.77,1179,High Density,,,91.99,18.28,10.89,7.39
REC000046,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2008,24-03-2008,3,March,Q1,FY2007-08,1578362,Small (<5M),9650786,8570949,52.96,47.04,1034,High Density,,,85.1,14.27,8.14,6.13
REC000047,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2006,27-07-2006,7,July,Q3,FY2006-07,9811976,Medium (5-10M),7305029,7538169,49.21,50.79,828,Medium Density,2.72,High Growth,82.14,27.55,14.98,12.57
REC000048,India,North,Delhi,DL,Delhi,28.7041,77.1025,2017,06-05-2017,5,May,Q2,FY2017-18,16100729,Very Large (>15M),4348577,5686091,43.34,56.66,724,Medium Density,,,64.87,28.99,10.81,18.18
REC000049,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,,,,,,,15439102,Very Large (>15M),177735,3177702,5.3,94.7,731,Medium Density,2.48,Moderate Growth,63.75,29.76,9.42,20.34
REC000050,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2024,13-07-2024,7,July,Q3,FY2024-25,14816396,Large (10-15M),1192535,9355283,11.31,88.69,403,Medium Density,1.91,Moderate Growth,68.64,10.83,12.62,-1.79
REC000051,India,North,Delhi,DL,Delhi,28.7041,77.1025,2013,07-02-2013,2,February,Q1,FY2012-13,17708253,Very Large (>15M),3537127,9825442,26.47,73.53,857,Medium Density,0.58,Low Growth,71,11.01,14.78,-3.77
REC000052,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2017,23-04-2017,4,April,Q2,FY2017-18,11839876,Large (10-15M),6721346,66818,99.02,0.98,53,Low Density,2.41,Moderate Growth,81.25,27.16,9.93,17.23
REC000053,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2008,13-09-2008,9,September,Q3,FY2008-09,8693155,Medium (5-10M),7752345,2141070,78.36,21.64,481,Medium Density,2.86,High Growth,90.71,13.52,8.31,5.21
REC000054,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2020,21-12-2020,12,December,Q4,FY2020-21,13429659,Large (10-15M),3845645,9831372,28.12,71.88,914,High Density,0.97,Low Growth,91.18,21.23,9.81,11.42
REC000055,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2001,08-02-2001,2,February,Q1,FY2000-01,19195619,Very Large (>15M),8891548,5546159,61.59,38.41,1467,High Density,,,83.88,21.6,11.94,9.66
REC000056,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2019,21-10-2019,10,October,Q4,FY2019-20,10001940,Large (10-15M),233835,5725409,3.92,96.08,734,Medium Density,1.04,Moderate Growth,80.09,23.24,11.73,11.51
REC000057,India,East,Karnataka,,,,,2014,17-09-2014,9,September,Q3,FY2014-15,11115829,Large (10-15M),2099357,4507525,31.78,68.22,136,Low Density,1.77,Moderate Growth,68.55,10.75,12.45,-1.7
REC000058,India,North,Delhi,DL,Delhi,28.7041,77.1025,2006,09-10-2006,10,October,Q4,FY2006-07,12529210,Large (10-15M),8753585,2752055,76.08,23.92,408,Medium Density,2.08,Moderate Growth,92.83,16.17,11.2,4.97
REC000059,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2011,20-05-2011,5,May,Q2,FY2011-12,4700215,Small (<5M),8167287,4431825,64.82,35.18,125,Low Density,,,83.49,20.28,14.54,5.74
REC000060,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2007,13-02-2007,2,February,Q1,FY2006-07,14460703,Large (10-15M),9806915,4591499,68.11,31.89,1091,High Density,2,Moderate Growth,78.67,13.49,8.65,4.84
REC000061,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2014,02-04-2014,4,April,Q2,FY2014-15,8462054,Medium (5-10M),,2959115,,,1140,High Density,2.66,High Growth,63.64,28.88,5.01,23.87
REC000062,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2002,04-12-2002,12,December,Q4,FY2002-03,8382715,Medium (5-10M),7687612,8032922,48.9,51.1,1186,High Density,,,88.91,26.58,6.49,20.09
REC000063,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2013,25-12-2013,12,December,Q4,FY2013-14,2675263,Small (<5M),8581616,6393973,57.3,42.7,693,Medium Density,3.27,High Growth,72.21,12.79,5.44,7.35
REC000064,India,North,Delhi,DL,Delhi,28.7041,77.1025,2016,02-07-2016,7,July,Q3,FY2016-17,2291678,Small (<5M),5978910,,,,1005,High Density,3.09,High Growth,91.52,23.42,6.52,16.9
REC000065,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2003,04-12-2003,12,December,Q4,FY2003-04,14627200,Large (10-15M),4804249,8007803,37.5,62.5,634,Medium Density,3.46,High Growth,65.89,18.2,7.15,11.05
REC000066,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2017,18-08-2017,8,August,Q3,FY2017-18,12905566,Large (10-15M),1700319,8745751,16.28,83.72,1314,High Density,2.29,Moderate Growth,61.7,16.23,7.72,8.51
REC000067,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2007,05-03-2007,3,March,Q1,FY2006-07,2813049,Small (<5M),4409764,4742277,48.18,51.82,605,Medium Density,1.7,Moderate Growth,75.22,15.82,5.25,10.57
REC000068,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2003,19-01-2003,1,January,Q1,FY2002-03,2253087,Small (<5M),4873479,9151344,34.75,65.25,622,Medium Density,1.22,Moderate Growth,62.74,23.25,7.82,15.43
REC000069,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2001,10-04-2001,4,April,Q2,FY2001-02,19779934,Very Large (>15M),9232215,174429,98.15,1.85,1200,High Density,1.23,Moderate Growth,62.16,28.07,6.49,21.58
REC000070,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2005,18-02-2005,2,February,Q1,FY2004-05,426924,Small (<5M),9897921,3552481,73.59,26.41,1036,High Density,0.95,Low Growth,84.98,26.73,5.86,20.87
REC000071,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2021,25-08-2021,8,August,Q3,FY2021-22,437688,Small (<5M),2397032,3084041,43.73,56.27,1448,High Density,2.68,High Growth,69.01,16.98,10.81,6.17
REC000072,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2009,21-04-2009,4,April,Q2,FY2009-10,19262232,Very Large (>15M),9020038,6378292,58.58,41.42,169,Low Density,2.46,Moderate Growth,82.36,24.15,6.93,17.22
REC000073,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2003,10-02-2003,2,February,Q1,FY2002-03,17897864,Very Large (>15M),2576591,5773250,30.86,69.14,843,Medium Density,1.38,Moderate Growth,79.98,20.55,5.81,14.74
REC000074,India,North,Delhi,DL,Delhi,28.7041,77.1025,2021,05-06-2021,6,June,Q2,FY2021-22,12857987,Large (10-15M),9746233,6975430,58.29,41.71,627,Medium Density,3.18,High Growth,64.93,18.81,6.79,12.02
REC000075,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2017,17-06-2017,6,June,Q2,FY2017-18,3940026,Small (<5M),1902782,3134411,37.77,62.23,1414,High Density,2.16,Moderate Growth,73.5,15.93,13.68,2.25
REC000076,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2011,22-10-2011,10,October,Q4,FY2011-12,15851386,Very Large (>15M),4621623,5743322,44.59,55.41,579,Medium Density,0.71,Low Growth,62.31,11.62,10.29,1.33
REC000077,India,North,Delhi,DL,Delhi,28.7041,77.1025,2001,13-04-2001,4,April,Q2,FY2001-02,12809686,Large (10-15M),1723957,7162533,19.4,80.6,1139,High Density,0.68,Low Growth,74.76,13.85,10.34,3.51
REC000078,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2009,23-06-2009,6,June,Q2,FY2009-10,4608708,Small (<5M),5934213,9985475,37.28,62.72,1208,High Density,0.93,Low Growth,66.38,21.33,7.72,13.61
REC000079,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2003,17-02-2003,2,February,Q1,FY2002-03,14858323,Large (10-15M),955892,1320591,41.99,58.01,1477,High Density,1.13,Moderate Growth,63.37,24.57,10.16,14.41
REC000080,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2013,09-10-2013,10,October,Q4,FY2013-14,6372372,Medium (5-10M),5580989,8700000,39.08,60.92,1245,High Density,3.16,High Growth,71.09,10.74,12.36,-1.62
REC000081,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2015,24-12-2015,12,December,Q4,FY2015-16,8990164,Medium (5-10M),9862544,6377923,60.73,39.27,938,High Density,2.84,High Growth,60.12,17.58,10.97,6.61
REC000082,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2014,12-02-2014,2,February,Q1,FY2013-14,12283674,Large (10-15M),48462,2108581,2.25,97.75,1025,High Density,1.11,Moderate Growth,86.52,13.32,10.37,2.95
REC000083,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2007,14-10-2007,10,October,Q4,FY2007-08,4238136,Small (<5M),9228777,5682461,61.89,38.11,640,Medium Density,1.25,Moderate Growth,65.54,22.04,8.64,13.4
REC000084,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2013,14-04-2013,4,April,Q2,FY2013-14,10982559,Large (10-15M),4991686,3175495,61.12,38.88,875,Medium Density,2.41,Moderate Growth,81.9,27.29,11.31,15.98
REC000085,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2022,08-08-2022,8,August,Q3,FY2022-23,12220205,Large (10-15M),2934268,4299325,40.56,59.44,99,Low Density,3.11,High Growth,89.14,28.59,13.57,15.02
REC000086,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2024,23-07-2024,7,July,Q3,FY2024-25,14387278,Large (10-15M),3960696,1853549,68.12,31.88,943,High Density,1.45,Moderate Growth,92.1,27.7,6.91,20.79
REC000087,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2007,05-12-2007,12,December,Q4,FY2007-08,12739921,Large (10-15M),8762593,7910206,52.56,47.44,376,Low Density,2.08,Moderate Growth,79.52,27.45,13.24,14.21
REC000088,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2020,19-09-2020,9,September,Q3,FY2020-21,7299602,Medium (5-10M),4989932,9163737,35.26,64.74,1097,High Density,3.17,High Growth,87.59,22.02,9.84,12.18
REC000089,India,North,Delhi,DL,Delhi,28.7041,77.1025,2015,28-08-2015,8,August,Q3,FY2015-16,10299925,Large (10-15M),9717114,7822294,55.4,44.6,514,Medium Density,2.81,High Growth,75.92,14.86,14.79,0.07
REC000090,India,South,Tamil Nadu,TN,Chennai,13.0827,80.2707,2012,14-05-2012,5,May,Q2,FY2012-13,2956868,Small (<5M),7867836,1009347,88.63,11.37,1410,High Density,3.17,High Growth,77.16,24.94,7.62,17.32
REC000091,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2017,09-02-2017,2,February,Q1,FY2016-17,4108961,Small (<5M),89831,9369533,0.95,99.05,1176,High Density,1.33,Moderate Growth,79.14,24.49,5.98,18.51
REC000092,India,North,Delhi,DL,Delhi,28.7041,77.1025,2014,07-05-2014,5,May,Q2,FY2014-15,13270459,Large (10-15M),9118986,1362062,87,13,1078,High Density,2.57,High Growth,83.45,13.33,6.61,6.72
REC000093,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2020,27-08-2020,8,August,Q3,FY2020-21,3296532,Small (<5M),2370084,2436400,49.31,50.69,488,Medium Density,0.84,Low Growth,83.45,13.9,5.19,8.71
REC000094,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2023,26-10-2023,10,October,Q4,FY2023-24,18727273,Very Large (>15M),2487852,300858,89.21,10.79,1372,High Density,2.35,Moderate Growth,87.49,12.19,8.65,3.54
REC000095,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2024,26-09-2024,9,September,Q3,FY2024-25,10302881,Large (10-15M),801878,952203,45.71,54.29,174,Low Density,1.41,Moderate Growth,81.59,19.97,8.2,11.77
REC000096,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2012,08-12-2012,12,December,Q4,FY2012-13,12059042,Large (10-15M),3757040,9078557,29.27,70.73,207,Low Density,2.6,High Growth,90.89,16.43,11.38,5.05
REC000097,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2008,14-12-2008,12,December,Q4,FY2008-09,834514,Small (<5M),2281277,2995166,43.24,56.76,373,Low Density,0.93,Low Growth,84.82,28,6.63,21.37
REC000098,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2014,22-12-2014,12,December,Q4,FY2014-15,9511064,Medium (5-10M),4744325,5036973,48.5,51.5,758,Medium Density,2.5,Moderate Growth,92.51,10.73,12.61,-1.88
REC000099,India,North,Delhi,DL,Delhi,28.7041,77.1025,2012,28-09-2012,9,September,Q3,FY2012-13,18746803,Very Large (>15M),8726386,5845433,59.89,40.11,1454,High Density,2.63,High Growth,86.27,16.48,8.23,8.25
REC000100,India,North,Delhi,DL,Delhi,28.7041,77.1025,2000,14-01-2000,1,January,Q1,FY1999-00,11977807,Large (10-15M),8852213,9428714,48.42,51.58,1478,High Density,3.07,High Growth,85.85,27.52,13.76,13.76
REC000101,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2024,11-09-2024,9,September,Q3,FY2024-25,13027630,Large (10-15M),133584,1525765,8.05,91.95,1477,High Density,2.56,High Growth,90.11,,6.83,
REC000102,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2006,14-07-2006,7,July,Q3,FY2006-07,11261312,Large (10-15M),1302385,2237600,36.79,63.21,342,Low Density,2.07,Moderate Growth,82.95,24.46,12.97,11.49
REC000103,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2008,21-09-2008,9,September,Q3,FY2008-09,6810510,Medium (5-10M),9711225,6119223,61.35,38.65,1410,High Density,2.85,High Growth,66.29,,6.86,
REC000104,India,East,West Bengal,WB,Kolkata,22.5726,88.3639,2023,08-08-2023,8,August,Q3,FY2023-24,10956401,Large (10-15M),5747707,7557043,43.2,56.8,546,Medium Density,1.35,Moderate Growth,62.9,10.32,5.2,5.12
REC000105,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2000,03-01-2000,1,January,Q1,FY1999-00,2916792,Small (<5M),6653027,3093031,68.26,31.74,1224,High Density,2.53,High Growth,71.05,25.43,5.58,19.85
REC000106,India,North,Delhi,DL,Delhi,28.7041,77.1025,2011,28-12-2011,12,December,Q4,FY2011-12,15533602,Very Large (>15M),1879940,1487773,55.82,44.18,261,Low Density,2.67,High Growth,88.5,19.23,13.16,6.07
REC000107,India,West,Maharashtra,MH,Pune,18.5204,73.8567,2007,23-08-2007,8,August,Q3,FY2007-08,18981099,Very Large (>15M),8624514,546353,94.04,5.96,432,Medium Density,1.68,Moderate Growth,60.76,23.81,10.33,13.48
REC000108,India,North,Delhi,DL,Delhi,28.7041,77.1025,2023,18-08-2023,8,August,Q3,FY2023-24,7465042,Medium (5-10M),8160490,5811221,58.41,41.59,826,Medium Density,3.47,High Growth,65.25,18.6,8.21,10.39
REC000109,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2010,03-11-2010,11,November,Q4,FY2010-11,10487221,Large (10-15M),5300051,6405133,45.28,54.72,1291,High Density,1.57,Moderate Growth,63.71,21.39,11.41,9.98
REC000110,India,South,Karnataka,KA,Bangalore,12.9716,77.5946,2018,13-03-2018,3,March,Q1,FY2017-18,19173459,Very Large (>15M),1613907,9814685,14.12,85.88,1154,High Density,0.75,Low Growth,61.3,15.2,8.77,6.43
REC000111,India,South,Telangana,TG,Hyderabad,17.385,78.4867,2016,12-01-2016,1,January,Q1,FY2015-16,4315630,Small (<5M),5280302,9475470,35.78,64.22,1448,High Density,1.41,Moderate Growth,88.36,21.48,13.2,8.28
REC000112,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2007,15-08-2007,8,August,Q3,FY2007-08,3729020,Small (<5M),2795463,4584707,37.88,62.12,1296,High Density,0.8,Low Growth,69.79,15.82,12.48,3.34
REC000113,India,North,Delhi,DL,Delhi,28.7041,77.1025,2002,18-03-2002,3,March,Q1,FY2001-02,16280138,Very Large (>15M),7388475,6267820,54.1,45.9,262,Low Density,1.52,Moderate Growth,85.51,15.61,9.67,5.94
REC000114,India,West,Maharashtra,MH,Mumbai,19.076,72.8777,2002,05-03-2002,3,March,Q1,FY2001-02,16328720,Very Large (>15M),9801302,2252808,81.31,18.69,1164,High Density,0.88,Low Growth,64.97,16.54,5.11,11.43
REC000115,India,North,Delhi,DL,Delhi,28.7041,77.1025,2000,07-01-2000,1,January,Q1,FY1999-00,17316184,Very Large (>15M),9366292,6686671,58.35,41.65,368,Low Density,1.82,Moderate Growth,74.31,14.02,10.19,3.83
